	(1)	(2)	(3)	(4)	(5)
VARIABLES	N	mean	sd	min	max
					
v1	100	50.50	29.01	1	100
id	100	306,063	9,925	263,038	308,947
nat	100	0.500	0.503	0	1
age	100	19.80	1.255	18	22
gender	100	0.550	0.500	0	1
edu	100	2.500	1.124	1	4
tuk	100	9.228	9.246	0.0110	21
tus	100	9.352	9.426	0	21
fampart	100	1.850	1.067	1	4
famgt	100	2.700	1.010	1	4
tg	100	0.400	0.492	0	1
group	100	10.50	5.795	1	20
period	100	3	1.421	1	5
pdmv1	100	0.820	0.386	0	1
pdmv2	100	0.360	0.482	0	1
pdt1	100	10,805	19,630	1,114	158,837
pdt2	100	5,473	6,707	1,000	38,473
role2	100	0	0	0	0
ugmv2	100	35.76	15.51	0	92
payoff2	100	30.57	27.97	0	60
ugt2	100	9,216	7,067	341	49,190
role1	100	0	0	0	0
ugmv1	100	41.17	16.65	0	100
payoff1	100	42.51	25.96	0	100
ugt1	100	17,217	25,742	3,263	226,121
ugcc2	100	0.686	0.281	0	1
ugcc1	100	0.777	0.303	0	1
					
