	(1)	(2)	(3)	(4)	(5)	(6)
VARIABLES	dugt	dugt	dugt	dugt	dugt	dugt
						
dugcc	-10,861*	-11,377*	-11,077*	-11,355*	-13,497*	-14,335*
	(6,074)	(6,082)	(5,697)	(5,822)	(7,269)	(8,085)
tg		10,798**	10,787**	8,268	13,400**	12,910**
		(4,767)	(4,763)	(6,071)	(6,541)	(6,410)
nat				-995.0	-5,847	-3,897
				(2,790)	(5,902)	(21,963)
tgNat				4,894	14,820	15,824
				(8,909)	(9,945)	(10,580)
role1	4,552	4,519	4,538	4,130	3,518	3,350
	(3,942)	(3,882)	(3,887)	(3,310)	(3,519)	(3,586)
age					-11,113**	-11,709**
					(5,263)	(5,497)
gender					22,051***	21,836***
					(7,878)	(7,794)
edu					10,620*	10,805**
					(5,574)	(5,383)
tuk						582.4
						(817.0)
tus						497.0
						(906.2)
fampart					8,368***	8,063***
					(2,920)	(2,768)
famgt					-6,026**	-6,249**
					(2,552)	(2,624)
dpay					67.13	67.29
					(71.82)	(72.37)
prd2			-2,322	-2,348	-1,599	-1,675
			(4,883)	(4,916)	(4,786)	(4,822)
prd3			975.6	954.6	1,598	1,537
			(4,775)	(4,786)	(4,751)	(4,813)
prd4			-7,956**	-7,967**	-7,506**	-7,538**
			(3,292)	(3,323)	(3,674)	(3,742)
prd5			1,484	1,446	2,026	1,913
			(7,217)	(7,251)	(7,226)	(7,184)
Constant	8,980***	4,708**	6,249*	7,064*	187,010**	188,801**
	(2,973)	(2,295)	(3,625)	(3,980)	(88,400)	(92,269)
						
Observations	200	200	200	200	200	200
R-squared	0.038	0.073	0.088	0.090	0.185	0.188
Robust standard errors in parentheses						
*** p<0.01, ** p<0.05, * p<0.1						
