	(1)	(2)	(3)	(4)	(5)
VARIABLES	N	mean	sd	min	max
					
v1	200	100.5	57.88	1	200
id	200	307,216	7,099	263,038	308,956
nat	200	0.550	0.499	0	1
age	200	19.80	1.211	18	23
gender	200	0.575	0.496	0	1
edu	200	2.450	1.142	1	5
tuk	200	8.366	9.144	0.00822	21
tus	200	10.15	9.399	0	23
fampart	200	1.825	1.025	1	4
famgt	200	2.600	0.997	1	4
tg	200	0.400	0.491	0	1
group	200	10.50	5.781	1	20
period	200	3	1.418	1	5
pdmv1	200	0.815	0.389	0	1
pdmv2	200	0.365	0.483	0	1
pdt1	200	10,333	19,503	984	159,500
pdt2	200	5,450	7,019	1,000	60,891
role2	200	0	0	0	0
ugmv2	200	37.05	14.15	0	92
payoff2	200	33.47	27.36	0	60
ugt2	200	9,676	7,114	341	49,727
role1	200	0.500	0.501	0	1
payoff1	200	39	24.60	0	100
ugt1	200	20,300	27,749	3,263	228,555
ugcc2	200	0.720	0.262	0	1
ugcc1	200	0.778	0.363	0	1
					
