"","id","nat","age","gender","edu","tuk","tus","fampart","famgt","tg","group","period","pdmv1","pdmv2","pdt1","pdt2","role2","ugmv2","payoff2","ugt2","role1","ugmv1","payoff1","ugt1","ugcc2","ugcc1"
"45",308189,"1",20,0,3,0.25,20,3,4,0,16,5,0,0,9745,2839,0,42,58,4799,0,"37",63,5434,0.84,0.74
"46",308190,"1",21,1,4,0.00821917808219178,17,2,3,0,4,1,1,0,6498,16071,0,35,0,25728,1,"ACCEPT",40,32047,0.7,1
"47",308190,"1",21,1,4,0.00821917808219178,17,2,3,0,4,2,1,0,10026,4173,0,45,55,11861,1,"REJECT",0,12293,0.9,0
"48",308190,"1",21,1,4,0.00821917808219178,17,2,3,0,4,3,1,0,4300,5544,0,30,0,8004,1,"ACCEPT",40,68830,0.6,1
"49",308190,"1",21,1,4,0.00821917808219178,17,2,3,0,4,4,1,0,4353,9454,0,40,60,5793,1,"REJECT",0,25606,0.8,0
"50",308190,"1",21,1,4,0.00821917808219178,17,2,3,0,4,5,1,0,3552,3886,0,20,0,5732,1,"REJECT",0,24499,0.4,0
"51",308191,"1",21,1,3,0.010958904109589,19,2,1,0,5,5,1,1,3253,1081,0,46,54,3718,1,"REJECT",0,34810,0.92,0
"52",308191,"1",21,1,3,0.010958904109589,19,2,1,0,5,4,1,0,2170,1314,0,50,50,6975,1,"ACCEPT",9,37622,1,1
"53",308191,"1",21,1,3,0.010958904109589,19,2,1,0,5,1,1,1,9762,4731,0,51,49,14633,1,"REJECT",0,32593,0.98,0
"54",308191,"1",21,1,3,0.010958904109589,19,2,1,0,5,2,1,1,2653,1521,0,24,0,10025,1,"REJECT",0,14567,0.48,0
"55",308191,"1",21,1,3,0.010958904109589,19,2,1,0,5,3,0,0,984,1056,0,0,0,3017,1,"ACCEPT",11,14350,0,1
"56",308192,"1",22,1,4,0.010958904109589,20,2,1,0,5,1,1,0,11891,11091,0,10,0,10860,0,"10",0,25443,0.2,0.2
"57",308192,"1",22,1,4,0.010958904109589,20,2,1,0,5,2,1,0,4829,10159,0,8,0,12519,0,"8",0,13128,0.16,0.16
"58",308192,"1",22,1,4,0.010958904109589,20,2,1,0,5,3,0,0,11382,8225,0,40,60,14292,0,"11",89,11206,0.8,0.22
"59",308192,"1",22,1,4,0.010958904109589,20,2,1,0,5,4,0,0,30952,5029,0,45,55,17719,0,"9",91,15359,0.9,0.18
"60",308192,"1",22,1,4,0.010958904109589,20,2,1,0,5,5,1,0,7399,2426,0,40,60,19414,0,"6",0,16045,0.8,0.12
"61",308194,"1",20,1,3,0.229166666666667,19,2,4,0,4,2,1,0,1433,3656,0,40,60,6841,0,"39",0,9816,0.8,0.78
"62",308194,"1",20,1,3,0.229166666666667,19,2,4,0,4,3,1,0,2498,3611,0,35,0,8344,0,"40",60,41583,0.7,0.8
"63",308194,"1",20,1,3,0.229166666666667,19,2,4,0,4,4,1,0,3343,2021,0,25,0,7032,0,"30",0,22800,0.5,0.6
"64",308194,"1",20,1,3,0.229166666666667,19,2,4,0,4,1,1,0,6172,12998,0,35,0,13026,0,"40",60,16259,0.7,0.8
"65",308194,"1",20,1,3,0.229166666666667,19,2,4,0,4,5,1,0,3903,1371,0,5,0,4510,0,"15",0,11620,0.1,0.3
"66",308202,"0",18,0,1,18,0.416666666666667,1,1,1,6,2,1,1,1732,2033,0,50,50,3338,0,"50",50,4582,1,1
"67",308202,"0",18,0,1,18,0.416666666666667,1,1,1,6,5,1,0,1440,1724,0,40,60,7886,0,"50",50,3263,0.8,1
"68",308202,"0",18,0,1,18,0.416666666666667,1,1,1,6,1,1,1,6805,3109,0,30,0,6321,0,"50",50,5615,0.6,1
"69",308202,"0",18,0,1,18,0.416666666666667,1,1,1,6,4,1,0,2177,1863,0,30,0,4952,0,"50",50,3393,0.6,1
"70",308202,"0",18,0,1,18,0.416666666666667,1,1,1,6,3,0,0,1114,2031,0,40,60,10202,0,"50",50,4636,0.8,1
"71",308207,"1",20,0,3,0.25,20,1,2,1,6,1,1,1,3902,6950,0,65,35,8641,1,"ACCEPT",50,8146,0.7,1
"72",308207,"1",20,0,3,0.25,20,1,2,1,6,2,1,0,1004,1161,0,27,0,7167,1,"ACCEPT",50,5801,0.54,1
"73",308207,"1",20,0,3,0.25,20,1,2,1,6,4,1,0,2156,2276,0,25,0,2550,1,"ACCEPT",50,4458,0.5,1
"74",308207,"1",20,0,3,0.25,20,1,2,1,6,5,1,0,2021,2625,0,38,0,2878,1,"ACCEPT",50,4689,0.76,1
"75",308207,"1",20,0,3,0.25,20,1,2,1,6,3,0,1,1198,1073,0,25,0,4229,1,"ACCEPT",50,5968,0.5,1
"76",308208,"1",20,0,3,0.291666666666667,19.5,1,2,1,7,5,1,0,2138,1383,0,34,0,6693,1,"ACCEPT",50,8671,0.68,1
"77",308208,"1",20,0,3,0.291666666666667,19.5,1,2,1,7,1,1,0,27283,25649,0,7,0,12767,1,"ACCEPT",50,29323,0.14,1
"78",308208,"1",20,0,3,0.291666666666667,19.5,1,2,1,7,4,1,1,2866,9140,0,48,52,5313,1,"ACCEPT",50,6785,0.96,1
"79",308208,"1",20,0,3,0.291666666666667,19.5,1,2,1,7,2,1,1,2996,13186,0,34,0,8519,1,"ACCEPT",50,12512,0.68,1
"80",308208,"1",20,0,3,0.291666666666667,19.5,1,2,1,7,3,1,0,2154,8381,0,50,50,5428,1,"ACCEPT",50,6745,1,1
"81",308209,"0",20,0,3,20,0.25,1,2,1,7,4,1,1,2602,2132,0,39,0,7014,0,"50",50,5245,0.78,1
"82",308209,"0",20,0,3,20,0.25,1,2,1,7,5,1,0,1701,4432,0,46,54,5870,0,"50",50,7156,0.92,1
"83",308209,"0",20,0,3,20,0.25,1,2,1,7,2,1,1,4402,4463,0,30,0,12097,0,"50",50,10914,0.6,1
"84",308209,"0",20,0,3,20,0.25,1,2,1,7,1,1,1,27166,23429,0,50,50,19553,0,"50",50,26313,1,1
"85",308209,"0",20,0,3,20,0.25,1,2,1,7,3,1,1,2075,4073,0,43,57,10918,0,"50",50,5277,0.86,1
"86",308305,"1",21,0,3,0.25,14,3,4,1,8,1,1,1,11382,6521,0,50,50,14450,0,"40",60,40168,1,0.8
"87",308305,"1",21,0,3,0.25,14,3,4,1,8,2,1,0,5759,1590,0,45,55,8277,0,"35",0,34578,0.9,0.7
"88",308305,"1",21,0,3,0.25,14,3,4,1,8,3,1,1,2770,2869,0,40,60,4657,0,"40",60,23284,0.8,0.8
"89",308305,"1",21,0,3,0.25,14,3,4,1,8,4,1,1,2548,6028,0,30,0,7582,0,"40",60,9788,0.6,0.8
"90",308305,"1",21,0,3,0.25,14,3,4,1,8,5,1,0,2425,1336,0,40,60,6657,0,"35",0,10854,0.8,0.7
"91",308318,"0",19,1,2,19.5,0,1,3,0,9,2,1,0,18077,1087,0,3,0,2994,0,"45",55,11411,0.0600000000000001,0.9
"92",308318,"0",19,1,2,19.5,0,1,3,0,9,1,1,1,88409,10228,0,2,0,10128,0,"41",59,32537,0.04,0.82
"93",308318,"0",19,1,2,19.5,0,1,3,0,9,5,0,0,12716,1342,0,26,0,3040,0,"50",50,4564,0.52,1
"94",308318,"0",19,1,2,19.5,0,1,3,0,9,4,1,0,3324,1378,0,11,0,2731,0,"50",50,10868,0.22,1
"95",308318,"0",19,1,2,19.5,0,1,3,0,9,3,1,0,10284,1989,0,20,0,2204,0,"50",50,18830,0.4,1
"96",308371,"0",18,1,1,18,0,1,4,0,9,3,1,0,9575,1625,0,40,60,6103,1,"ACCEPT",50,20857,0.8,1
"97",308371,"0",18,1,1,18,0,1,4,0,9,5,0,0,11954,2213,0,40,60,14564,1,"ACCEPT",50,6253,0.8,1
"98",308371,"0",18,1,1,18,0,1,4,0,9,2,1,1,18387,1270,0,40,60,10975,1,"ACCEPT",45,13697,0.8,1
"99",308371,"0",18,1,1,18,0,1,4,0,9,1,1,1,88027,9254,0,25,0,12869,1,"ACCEPT",41,36889,0.5,1
"100",308371,"0",18,1,1,18,0,1,4,0,9,4,1,0,3937,2307,0,40,60,7801,1,"ACCEPT",50,13453,0.8,1
"101",308373,"0",18,1,1,18,0,1,2,0,12,4,1,0,3875,2973,0,35,0,8278,1,"ACCEPT",51,24741,0.7,1
"102",308373,"0",18,1,1,18,0,1,2,0,12,5,1,0,6906,5549,0,40,60,8181,1,"ACCEPT",49,8649,0.8,1
